Name;Url;Template;ContentTypes;OnQuickLaunch;Hidden
Arbeitsdokumente;working;DocumentLibrary;btecQMDocumentWorking;true;
Veröffentlichte Dokumente;published;DocumentLibrary;btecQMDocument;true;
